# FIXTURE HGDP+1kGP subset OFFLINE TESTS ONLY
sample	project	population	region	latitude	longitude	sex
HGDP00001	HGDP	Brahui	CENTRAL_SOUTH_ASIA	30.0	66.0	M
HGDP00451	HGDP	Yoruba	AFRICA	7.4	3.9	F
HGDP00452	HGDP	Yoruba	AFRICA	7.4	3.9	M
HGDP01029	HGDP	San	AFRICA	-26.0	20.0	F
HGDP00928	HGDP	Mandenka	AFRICA	13.0	-15.0	M
HGDP00461	HGDP	BantuKenya	AFRICA	-1.0	37.0	F
NA18486	1kGP	YRI	AFRICA	7.4	3.9	M
NA12878	1kGP	CEU	EUROPE	52.0	5.0	F
HG00096	1kGP	GBR	EUROPE	54.0	-2.0	M
HGDP00778	HGDP	Han	EAST_ASIA	34.0	108.0	M
HGDP01202	HGDP	Druze	MIDDLE_EAST	32.0	35.0	F
NA19625	1kGP	ASW	AMERICA	38.0	-97.0	F
