group	species	strain	accession	source	note
P1	adleri	201601302	RQHG00000000	vincent2019taxonomy	candidat parmi 2 ; type non confirme
P1	adleri	FH2-B-C1	NPDV00000000	vincent2019taxonomy	candidat parmi 2 ; type non confirme
P1	ainazelensis	201903071T	GCF_016918785.1	korba2021	source non-OA, accession via NCBI Assembly ; a confirmer par /literature-access
P1	ainlahdjerensis	201903070T	GCF_016919175.1	korba2021	source non-OA ; a confirmer par /literature-access
P1	alexanderi	L60	NZ_AHMT00000000	vincent2019taxonomy
P1	alstonii	79601	ANIK00000000	vincent2019taxonomy
P1	barantonii	201702444	RQGN00000000	vincent2019taxonomy	candidat parmi 2 ; type non confirme
P1	barantonii	FH4-C-A1	NPDS00000000	vincent2019taxonomy	candidat parmi 2 ; type non confirme
P1	borgpetersenii	L550	GCA_000013945.1	vincent2019taxonomy	testee : telechargement + skani OK (smoke test 2026-09-18)
P1	ellisii	ATI7-C-A5	NPEF00000000	vincent2019taxonomy
P1	gorisiae	WS92.C1T	CP162130	hamond2025	assemblage multi-contigs CP162130-CP162132 ; CP162130 resout l'assemblage complet via l'API Datasets
P1	interrogans	56601	GCA_000092565.1	vincent2019taxonomy	espece type du genre, tres etudiee
P1	kirschneri	200702274	NZ_AHOC00000000	vincent2019taxonomy
P1	kmetyi	Bejo-Iso9	NZ_AHMP00000000	vincent2019taxonomy	1 candidat nomme parmi 4 rapportes ; autres candidats non individualises dans la revue
P1	mayottensis	200901116	AKWB00000000	vincent2019taxonomy	candidat parmi 2 ; type non confirme
P1	mayottensis	201601116	RQHQ00000000	vincent2019taxonomy	candidat parmi 2 ; type non confirme
P1	noguchii	CZ214	NZ_AKWY00000000	vincent2019taxonomy
P1	sanjuanensis	LGVF02T	GCF_022267375.1	fernandes2022	correspondance exacte souche type/accession non confirmee (2 assemblies candidats), source non-OA
P1	sanjuanensis	LGVF02T	GCF_022267325.1	fernandes2022	second assembly candidat pour la meme souche type ; a trancher
P1	santarosai	LT 821	GCA_000313175.2	vincent2019taxonomy
P1	stimsonii	201702407	RQGT00000000	vincent2019taxonomy	synonyme de putramalaysiae (Vincent 2019) ; candidat parmi 2
P1	stimsonii	SSW20	RQEQ00000000	vincent2019taxonomy	synonyme de putramalaysiae (Vincent 2019) ; candidat parmi 2
P1	tipperaryensis	GWTS	GCA_001729245.1	vincent2019taxonomy
P1	weilii	LT2116	NZ_AHOR00000000	vincent2019taxonomy
P2	andrefontaineae	201800301	RQEY00000000	vincent2019taxonomy
P2	broomii	5399	NZ_AHMO00000000	vincent2019taxonomy
P2	cinconiae	WS58.C1T	CP162137	hamond2025	assemblage multi-contigs CP162137-CP162138
P2	dzoumogneensis	201601113	RQHS00000000	vincent2019taxonomy
P2	fainei	BUT 6	NZ_AKWZ00000000	vincent2019taxonomy
P2	fletcheri	SSW15	RQET00000000	vincent2019taxonomy
P2	fluminis	SCS5	RQEV00000000	vincent2019taxonomy
P2	haakeii	ATI7-C-A2	NPEI00000000	vincent2019taxonomy
P2	hartskeerlii	MCA1_C_A1	NPDN00000000	vincent2019taxonomy
