start	end	locus_tag	note
889021	890375	IS6110-1	Insertion sequence IS6110 canonical copy
1541952	1543306	IS6110-2	Insertion sequence IS6110 canonical copy
1987703	1989057	IS6110-3	Insertion sequence IS6110 canonical copy
1996101	1997455	IS6110-4	Insertion sequence IS6110 canonical copy
2365414	2366768	IS6110-5	Insertion sequence IS6110 canonical copy
2430117	2431471	IS6110-6	Insertion sequence IS6110 canonical copy
2550014	2551368	IS6110-7	Insertion sequence IS6110 canonical copy
2635577	2636931	IS6110-8	Insertion sequence IS6110 canonical copy
2784614	2785970	IS6110-9	Insertion sequence IS6110 canonical copy
2972109	2973463	IS6110-10	Insertion sequence IS6110 canonical copy
3120523	3121897	IS6110-11	Insertion sequence IS6110 canonical copy
3551230	3552584	IS6110-12	Insertion sequence IS6110 canonical copy
3552713	3554067	IS6110-13	Insertion sequence IS6110 canonical copy
3710382	3711736	IS6110-14	Insertion sequence IS6110 canonical copy
3795058	3796412	IS6110-15	Insertion sequence IS6110 canonical copy
3890779	3892133	IS6110-16	Insertion sequence IS6110 canonical copy
